test_id,candidate_id,review_status,review_basis,management_explanation,evidence_ref
T-003,T003-I-001,unresolved,Supporting documentation was insufficient,Finance could not demonstrate that the repeated invoice was valid,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-I-002,unresolved,Supporting documentation was insufficient,Finance could not demonstrate that the repeated invoice was valid,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-I-003,unresolved,Supporting documentation was insufficient,Finance could not demonstrate that the repeated invoice was valid,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-I-004,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-I-005,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-I-006,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-I-007,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-I-008,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-001,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-002,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-003,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-004,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-005,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-006,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-007,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-008,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-009,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-010,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-011,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-003,T003-P-012,resolved,Separate business purpose was documented,Finance provided sufficient supporting explanation,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-001,unresolved,Separate business need was not evidenced,Procurement explanation was not supported by retained documents,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-002,unresolved,Separate business need was not evidenced,Procurement explanation was not supported by retained documents,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-003,unresolved,Separate business need was not evidenced,Procurement explanation was not supported by retained documents,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-004,unresolved,Separate business need was not evidenced,Procurement explanation was not supported by retained documents,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-005,unresolved,Separate business need was not evidenced,Procurement explanation was not supported by retained documents,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-006,unresolved,Separate business need was not evidenced,Procurement explanation was not supported by retained documents,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-007,resolved,Separate business need was documented,Procurement provided sufficient supporting evidence,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-008,resolved,Separate business need was documented,Procurement provided sufficient supporting evidence,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-009,resolved,Separate business need was documented,Procurement provided sufficient supporting evidence,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-010,resolved,Separate business need was documented,Procurement provided sufficient supporting evidence,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-011,resolved,Separate business need was documented,Procurement provided sufficient supporting evidence,04_evidence/03_correspondence/procurement_follow_up_summary.md
T-004,T004-012,resolved,Separate business need was documented,Procurement provided sufficient supporting evidence,04_evidence/03_correspondence/procurement_follow_up_summary.md
